Object Type,Property,Name,English [en-US],Spanish [es-ES]
Table,Caption,Cuentas,Cuentas,Cuentas
Column,Caption,Cuentas[BKCuenta],BKCuenta,BKCuenta
Column,Caption,Cuentas[Cuenta],Cuenta,Cuenta
Column,Caption,Cuentas[Tipo Cuenta],Tipo Cuenta,Tipo Cuenta
Column,Caption,Cuentas[Comportamiento Cuenta],Comportamiento Cuenta,Comportamiento Cuenta
Column,Caption,Cuentas[Empresa],Empresa,Empresa
Column,Caption,Cuentas[Alias Empresa],Alias Empresa,Alias Empresa
Column,Caption,Cuentas[Tipo Empresa],Tipo Empresa,Tipo Empresa
Column,Caption,Cuentas[Banco],Banco,Banco
Column,Caption,Cuentas[Divisa],Divisa,Divisa
Column,Caption,Cuentas[CD_DIVISA],CD_DIVISA,CD_DIVISA
Column,Caption,Cuentas[BKIdEmpresa],BKIdEmpresa,BKIdEmpresa
Column,Caption,Cuentas[NM_SALDO],NM_SALDO,NM_SALDO
Column,Caption,Cuentas[IT_ACTIVA],IT_ACTIVA,IT_ACTIVA
Column,Caption,Cuentas[FC_INACTIVA],FC_INACTIVA,FC_INACTIVA
Column,Caption,Cuentas[CD_GRUPO_CUENTA],CD_GRUPO_CUENTA,CD_GRUPO_CUENTA
Column,Caption,Cuentas[Observaciones],Observaciones,Observaciones
Column,Caption,Cuentas[Grupo_Cuentas],Grupo_Cuentas,Grupo_Cuentas
Table,Caption,Condiciones,Condiciones,Condiciones
Column,Caption,Condiciones[CD_CONDICION],CD_CONDICION,CD_CONDICION
Column,Caption,Condiciones[DS_CONDICION],DS_CONDICION,DS_CONDICION
Column,Caption,Condiciones[CD_CUENTA],CD_CUENTA,CD_CUENTA
Column,Caption,Condiciones[FC_INICIO],FC_INICIO,FC_INICIO
Column,Caption,Condiciones[FC_FIN],FC_FIN,FC_FIN
Column,Caption,Condiciones[NM_LIMITE],NM_LIMITE,NM_LIMITE
Column,Caption,Condiciones[CD_PERIODO_LIQUIDACION],CD_PERIODO_LIQUIDACION,CD_PERIODO_LIQUIDACION
Column,Caption,Condiciones[CD_PERIODO_REVISION],CD_PERIODO_REVISION,CD_PERIODO_REVISION
Column,Caption,Condiciones[FC_REVISION],FC_REVISION,FC_REVISION
Column,Caption,Condiciones[NM_SALDO_MINIMO],NM_SALDO_MINIMO,NM_SALDO_MINIMO
Column,Caption,Condiciones[CD_TIPO_REFERENCIA],CD_TIPO_REFERENCIA,CD_TIPO_REFERENCIA
Column,Caption,Condiciones[IT_DESLIZAMIENTO],IT_DESLIZAMIENTO,IT_DESLIZAMIENTO
Column,Caption,Condiciones[NM_COMISION_NO_DISPONIBLE],NM_COMISION_NO_DISPONIBLE,NM_COMISION_NO_DISPONIBLE
Column,Caption,Condiciones[NM_COMISION_ESTUDIO],NM_COMISION_ESTUDIO,NM_COMISION_ESTUDIO
Column,Caption,Condiciones[NM_COMISION_APERTURA],NM_COMISION_APERTURA,NM_COMISION_APERTURA
Column,Caption,Condiciones[KAT_CONDICIONES_TRAMOS.1.NM_TIPO_FIJO],KAT_CONDICIONES_TRAMOS.1.NM_TIPO_FIJO,KAT_CONDICIONES_TRAMOS.1.NM_TIPO_FIJO
Column,Caption,Condiciones[KAT_TIPO_FIJO2],KAT_TIPO_FIJO2,KAT_TIPO_FIJO2
Table,Caption,Evolución Saldos,Evolución Saldos,Evolución Saldos
Column,Caption,Evolución Saldos[CD_CUENTA],CD_CUENTA,CD_CUENTA
Column,Caption,Evolución Saldos[CD_EMPRESA],CD_EMPRESA,CD_EMPRESA
Column,Caption,Evolución Saldos[Empresa],Empresa,Empresa
Column,Caption,Evolución Saldos[FC_FECHA],FC_FECHA,FC_FECHA
Column,Caption,Evolución Saldos[NM_SALDO],NM_SALDO,NM_SALDO
Column,Caption,Evolución Saldos[NM_SALDO_ERP],NM_SALDO_ERP,NM_SALDO_ERP
Column,Caption,Evolución Saldos[CD_MVTO_ULTIMO],CD_MVTO_ULTIMO,CD_MVTO_ULTIMO
Column,Caption,Evolución Saldos[CD_MVTO_ERP_ULTIMO],CD_MVTO_ERP_ULTIMO,CD_MVTO_ERP_ULTIMO
Column,Caption,Evolución Saldos[Saldo_(Div. Ref.)],Saldo_(Div. Ref.),Saldo_(Div. Ref.)
Column,Caption,Evolución Saldos[Saldo_(EUR)],Saldo_(EUR),Saldo_(EUR)
Measure,Caption,Evolución Saldos[Disponible],Disponible,Disponible
Table,DisplayFolder,Evolución Saldos[Divisa Sistema],,
Measure,Description,Evolución Saldos[Disponible]Disponible,,
Measure,Caption,Evolución Saldos[Disponible (Div. Seleccionada)],Disponible (Div. Seleccionada),Disponible (Div. Seleccionada)
Table,DisplayFolder,Evolución Saldos[Divisa Seleccionada],,
Measure,Description,Evolución Saldos[Disponible (Div. Seleccionada)]Disponible (Div. Seleccionada),,
Measure,Caption,Evolución Saldos[Disponible (Moneda Cuenta)],Disponible (Moneda Cuenta),Disponible (Moneda Cuenta)
Table,DisplayFolder,Evolución Saldos[Divisa Cuenta],,
Measure,Description,Evolución Saldos[Disponible (Moneda Cuenta)]Disponible (Moneda Cuenta),,
Measure,Caption,Evolución Saldos[Divisa de Referencia],Divisa de Referencia,Divisa de Referencia
Measure,Description,Evolución Saldos[Divisa de Referencia]Divisa de Referencia,,
Measure,Caption,Evolución Saldos[Divisa Seleccionada],Divisa Seleccionada,Divisa Seleccionada
Measure,Caption,Evolución Saldos[Límite],Límite,Límite
Measure,Description,Evolución Saldos[Límite]Límite,,
Measure,Caption,Evolución Saldos[Límite (Div. Seleccionada)],Límite (Div. Seleccionada),Límite (Div. Seleccionada)
Measure,Description,Evolución Saldos[Límite (Div. Seleccionada)]Límite (Div. Seleccionada),,
Measure,Caption,Evolución Saldos[Límite (Moneda Cuenta)],Límite (Moneda Cuenta),Límite (Moneda Cuenta)
Measure,Description,Evolución Saldos[Límite (Moneda Cuenta)]Límite (Moneda Cuenta),,
Measure,Caption,Evolución Saldos[Saldo],Saldo,Saldo
Measure,Description,Evolución Saldos[Saldo]Saldo,,
Measure,Caption,Evolución Saldos[Saldo (Div. Seleccionada)],Saldo (Div. Seleccionada),Saldo (Div. Seleccionada)
Measure,Description,Evolución Saldos[Saldo (Div. Seleccionada)]Saldo (Div. Seleccionada),,
Measure,Caption,Evolución Saldos[Saldo (Moneda Cuenta)],Saldo (Moneda Cuenta),Saldo (Moneda Cuenta)
Measure,Description,Evolución Saldos[Saldo (Moneda Cuenta)]Saldo (Moneda Cuenta),,
Measure,Caption,Evolución Saldos[Saldo A-1],Saldo A-1,Saldo A-1
Measure,Caption,Evolución Saldos[Saldo AA],Saldo AA,Saldo AA
Measure,Caption,Evolución Saldos[Saldo Medio],Saldo Medio,Saldo Medio
Measure,Caption,Evolución Saldos[Saldo o Disponible],Saldo o Disponible,Saldo o Disponible
Measure,Description,Evolución Saldos[Saldo o Disponible]Saldo o Disponible,,
Measure,Caption,Evolución Saldos[Saldo o Disponible (Div. Seleccionada)],Saldo o Disponible (Div. Seleccionada),Saldo o Disponible (Div. Seleccionada)
Measure,Description,Evolución Saldos[Saldo o Disponible (Div. Seleccionada)]Saldo o Disponible (Div. Seleccionada),,
Measure,Caption,Evolución Saldos[Saldo o Disponible (Moneda Cuenta)],Saldo o Disponible (Moneda Cuenta),Saldo o Disponible (Moneda Cuenta)
Measure,Description,Evolución Saldos[Saldo o Disponible (Moneda Cuenta)]Saldo o Disponible (Moneda Cuenta),,
Measure,Caption,Evolución Saldos[LIMITE FULL],LIMITE FULL,LIMITE FULL
Measure,Caption,Evolución Saldos[DISPONIBLE FULL],DISPONIBLE FULL,DISPONIBLE FULL
Table,Caption,Tipo Movimiento,Tipo Movimiento,Tipo Movimiento
Column,Caption,Tipo Movimiento[CD_TIPO_MOVIMIENTO],CD_TIPO_MOVIMIENTO,CD_TIPO_MOVIMIENTO
Column,Caption,Tipo Movimiento[DS_TIPO_MOVIMIENTO],DS_TIPO_MOVIMIENTO,DS_TIPO_MOVIMIENTO
Table,Caption,Divisa Sistema,Divisa Sistema,Divisa Sistema
Column,Caption,Divisa Sistema[DS_ISO_DIVISA],DS_ISO_DIVISA,DS_ISO_DIVISA
Table,Caption,Conciliación,Conciliación,Conciliación
Column,Caption,Conciliación[CD_CUENTA],CD_CUENTA,CD_CUENTA
Column,Caption,Conciliación[Origen],Origen,Origen
Column,Caption,Conciliación[FC_OPERACION],FC_OPERACION,FC_OPERACION
Column,Caption,Conciliación[FC_CIERRE],FC_CIERRE,FC_CIERRE
Column,Caption,Conciliación[CD_VIA_COBRO_PAGO],CD_VIA_COBRO_PAGO,CD_VIA_COBRO_PAGO
Column,Caption,Conciliación[IT_PUNTEADO],IT_PUNTEADO,IT_PUNTEADO
Column,Caption,Conciliación[NM_IMPORTE],NM_IMPORTE,NM_IMPORTE
Column,Caption,Conciliación[NM_SALDO],NM_SALDO,NM_SALDO
Measure,Caption,Conciliación[Movs Conc.],Movs Conc.,Movs Conc.
Measure,Caption,Conciliación[Movs Pdte. Conc.],Movs Pdte. Conc.,Movs Pdte. Conc.
Measure,Caption,Conciliación[Saldo Conc.],Saldo Conc.,Saldo Conc.
Measure,Caption,Conciliación[Saldo Pdte. Conc.],Saldo Pdte. Conc.,Saldo Pdte. Conc.
Table,Caption,DIVISAS,DIVISAS,DIVISAS
Column,Caption,DIVISAS[CD_DIVISA],CD_DIVISA,CD_DIVISA
Column,Caption,DIVISAS[DIVISA],DIVISA,DIVISA
Column,Caption,DIVISAS[SIMBOLO],SIMBOLO,SIMBOLO
Measure,Caption,DIVISAS[Divisa Referencia],Divisa Referencia,Divisa Referencia
Table,Caption,DivisasMov,DivisasMov,DivisasMov
Column,Caption,DivisasMov[CD_DIVISA],CD_DIVISA,CD_DIVISA
Column,Caption,DivisasMov[DS_NOMBRE_DIVISA],DS_NOMBRE_DIVISA,DS_NOMBRE_DIVISA
Column,Caption,DivisasMov[DS_ISO_DIVISA],DS_ISO_DIVISA,DS_ISO_DIVISA
Column,Caption,DivisasMov[NM_ISO_DIVISA],NM_ISO_DIVISA,NM_ISO_DIVISA
Column,Caption,DivisasMov[DS_SIMBOLO],DS_SIMBOLO,DS_SIMBOLO
Column,Caption,DivisasMov[FC_MOVIMIENTO],FC_MOVIMIENTO,FC_MOVIMIENTO
Column,Caption,DivisasMov[NM_TIPO_CAMBIO],NM_TIPO_CAMBIO,NM_TIPO_CAMBIO
Table,Caption,Endeudamiento,Endeudamiento,Endeudamiento
Column,Caption,Endeudamiento[FECHA],FECHA,FECHA
Column,Caption,Endeudamiento[ORIGEN],ORIGEN,ORIGEN
Column,Caption,Endeudamiento[DESCRIPCION],DESCRIPCION,DESCRIPCION
Column,Caption,Endeudamiento[CD_BANCO],CD_BANCO,CD_BANCO
Column,Caption,Endeudamiento[DS_ALIAS_BANCO],DS_ALIAS_BANCO,DS_ALIAS_BANCO
Column,Caption,Endeudamiento[CD_CUENTA],CD_CUENTA,CD_CUENTA
Column,Caption,Endeudamiento[TIPO_CUENTA],TIPO_CUENTA,TIPO_CUENTA
Column,Caption,Endeudamiento[DS_NOMBRE_CUENTA],DS_NOMBRE_CUENTA,DS_NOMBRE_CUENTA
Column,Caption,Endeudamiento[LIMITE],LIMITE,LIMITE
Column,Caption,Endeudamiento[DISPUESTO],DISPUESTO,DISPUESTO
Column,Caption,Endeudamiento[DISPONIBLE],DISPONIBLE,DISPONIBLE
Column,Caption,Endeudamiento[AMORTIZACIÓN],AMORTIZACIÓN,AMORTIZACIÓN
Column,Caption,Endeudamiento[EMPRESA],EMPRESA,EMPRESA
Measure,Caption,Endeudamiento[Amortizado (Endeudamiento)],Amortizado (Endeudamiento),Amortizado (Endeudamiento)
Measure,Caption,Endeudamiento[Disponible (Endeudamiento)],Disponible (Endeudamiento),Disponible (Endeudamiento)
Measure,Caption,Endeudamiento[Dispuesto (Endeudamiento)],Dispuesto (Endeudamiento),Dispuesto (Endeudamiento)
Measure,Caption,Endeudamiento[Límite (Endeudamiento)],Límite (Endeudamiento),Límite (Endeudamiento)
Table,Caption,FechasCierre,FechasCierre,FechasCierre
Column,Caption,FechasCierre[CD_CUENTA],CD_CUENTA,CD_CUENTA
Column,Caption,FechasCierre[FC_CIERRE],FC_CIERRE,FC_CIERRE
Measure,Caption,FechasCierre[Fecha Cierre Sel.],Fecha Cierre Sel.,Fecha Cierre Sel.
Measure,Caption,FechasCierre[Cierre Seleccionado],Cierre Seleccionado,Cierre Seleccionado
Table,Caption,Ingresos y Gastos,Ingresos y Gastos,Ingresos y Gastos
Column,Caption,Ingresos y Gastos[CD_CUENTA],CD_CUENTA,CD_CUENTA
Column,Caption,Ingresos y Gastos[NM_IMPORTE],NM_IMPORTE,NM_IMPORTE
Column,Caption,Ingresos y Gastos[NM_SALDO],NM_SALDO,NM_SALDO
Column,Caption,Ingresos y Gastos[FC_VALOR],FC_VALOR,FC_VALOR
Column,Caption,Ingresos y Gastos[FC_OPERACION],FC_OPERACION,FC_OPERACION
Column,Caption,Ingresos y Gastos[Tipo Movimiento],Tipo Movimiento,Tipo Movimiento
Column,Caption,Ingresos y Gastos[Vía CyP],Vía CyP,Vía CyP
Column,Caption,Ingresos y Gastos[Concepto Propio],Concepto Propio,Concepto Propio
Column,Caption,Ingresos y Gastos[DS_COMPLEMENTARIO],DS_COMPLEMENTARIO,DS_COMPLEMENTARIO
Column,Caption,Ingresos y Gastos[CD_DIVISA_ORIGEN],CD_DIVISA_ORIGEN,CD_DIVISA_ORIGEN
Column,Caption,Ingresos y Gastos[Concepto Común],Concepto Común,Concepto Común
Column,Caption,Ingresos y Gastos[IT_ANULADO],IT_ANULADO,IT_ANULADO
Column,Caption,Ingresos y Gastos[FC_ANULACION],FC_ANULACION,FC_ANULACION
Column,Caption,Ingresos y Gastos[NM_MOVIMIENTO],NM_MOVIMIENTO,NM_MOVIMIENTO
Column,Caption,Ingresos y Gastos[IT_VALIDADO],IT_VALIDADO,IT_VALIDADO
Column,Caption,Ingresos y Gastos[FC_VALIDACION],FC_VALIDACION,FC_VALIDACION
Column,Caption,Ingresos y Gastos[NM_TIPO_CAMBIO],NM_TIPO_CAMBIO,NM_TIPO_CAMBIO
Column,Caption,Ingresos y Gastos[FC_VENCIMIENTO],FC_VENCIMIENTO,FC_VENCIMIENTO
Measure,Caption,Ingresos y Gastos[Gastos],Gastos,Gastos
Measure,Caption,Ingresos y Gastos[Ingresos],Ingresos,Ingresos
Measure,Caption,Ingresos y Gastos[Saldo Movimientos],Saldo Movimientos,Saldo Movimientos
Measure,Caption,Ingresos y Gastos[SaldoMovBco],SaldoMovBco,SaldoMovBco
Table,Caption,Previsiones,Previsiones,Previsiones
Column,Caption,Previsiones[Cuenta],Cuenta,Cuenta
Column,Caption,Previsiones[CD_EMPRESA],CD_EMPRESA,CD_EMPRESA
Column,Caption,Previsiones[CD_BANCO],CD_BANCO,CD_BANCO
Column,Caption,Previsiones[EsPago],EsPago,EsPago
Column,Caption,Previsiones[Concepto CyP],Concepto CyP,Concepto CyP
Column,Caption,Previsiones[Tipo Concepto CyP],Tipo Concepto CyP,Tipo Concepto CyP
Column,Caption,Previsiones[Vía CyP],Vía CyP,Vía CyP
Column,Caption,Previsiones[Fecha Vto],Fecha Vto,Fecha Vto
Column,Caption,Previsiones[Fecha Prevista],Fecha Prevista,Fecha Prevista
Column,Caption,Previsiones[Fecha Emisión Fra],Fecha Emisión Fra,Fecha Emisión Fra
Column,Caption,Previsiones[Fecha Validación],Fecha Validación,Fecha Validación
Column,Caption,Previsiones[Importe Inicial],Importe Inicial,Importe Inicial
Column,Caption,Previsiones[Importe Previsto],Importe Previsto,Importe Previsto
Column,Caption,Previsiones[Estado],Estado,Estado
Column,Caption,Previsiones[Origen],Origen,Origen
Column,Caption,Previsiones[Tipo Previsión],Tipo Previsión,Tipo Previsión
Column,Caption,Previsiones[Tipo Documento],Tipo Documento,Tipo Documento
Column,Caption,Previsiones[Certeza],Certeza,Certeza
Column,Caption,Previsiones[Porcentaje Certeza],Porcentaje Certeza,Porcentaje Certeza
Column,Caption,Previsiones[Detalle Previsión],Detalle Previsión,Detalle Previsión
Column,Caption,Previsiones[TipoPrev],TipoPrev,TipoPrev
Measure,Caption,Previsiones[Disponible Final],Disponible Final,Disponible Final
Measure,Caption,Previsiones[Disponible Inicial],Disponible Inicial,Disponible Inicial
Measure,Caption,Previsiones[Entradas],Entradas,Entradas
Measure,Caption,Previsiones[Importe Previsión],Importe Previsión,Importe Previsión
Measure,Caption,Previsiones[Saldo final],Saldo final,Saldo final
Measure,Caption,Previsiones[Saldo inicial],Saldo inicial,Saldo inicial
Measure,Caption,Previsiones[Salidas],Salidas,Salidas
Measure,Caption,Previsiones[SoD Final],SoD Final,SoD Final
Measure,Caption,Previsiones[SoD Inicial],SoD Inicial,SoD Inicial
Measure,Caption,Previsiones[Vencida +60],Vencida +60,Vencida +60
Measure,Caption,Previsiones[Vencida 30],Vencida 30,Vencida 30
Measure,Caption,Previsiones[Vencida 60],Vencida 60,Vencida 60
Measure,Caption,Previsiones[Cobros],Cobros,Cobros
Measure,Caption,Previsiones[Pagos],Pagos,Pagos
Table,Caption,Seguridad Usuarios,Seguridad Usuarios,Seguridad Usuarios
Column,Caption,Seguridad Usuarios[Email],Email,Email
Column,Caption,Seguridad Usuarios[CD_CUENTA],CD_CUENTA,CD_CUENTA
Table,Caption,Tiempo,Tiempo,Tiempo
Column,Caption,Tiempo[Fecha],Fecha,Fecha
Column,Caption,Tiempo[Trimestre],Trimestre,Trimestre
Column,Caption,Tiempo[Año],Año,Año
Column,Caption,Tiempo[Semana del año],Semana del año,Semana del año
Column,Caption,Tiempo[Mes],Mes,Mes
Column,Caption,Tiempo[Nombre del mes],Nombre del mes,Nombre del mes
Column,Caption,Tiempo[Día de la semana],Día de la semana,Día de la semana
Column,Caption,Tiempo[Nombre del día],Nombre del día,Nombre del día
Column,Caption,Tiempo[Periodo],Periodo,Periodo
Column,Caption,Tiempo[IdPeriodo],IdPeriodo,IdPeriodo
Column,Caption,Tiempo[EnEndeudamiento],EnEndeudamiento,EnEndeudamiento
Column,Caption,Tiempo[InicioSemana],InicioSemana,InicioSemana
Column,Caption,Tiempo[último día],último día,último día
Column,Caption,Tiempo[Semana],Semana,Semana
Measure,Caption,Tiempo[Intervalo Seleccionado],Intervalo Seleccionado,Intervalo Seleccionado
Table,Caption,Selector Saldo,Selector Saldo,Selector Saldo
Column,Caption,Selector Saldo[Value],Value,Value
Table,Caption,QueryTiempo,QueryTiempo,QueryTiempo
Column,Caption,QueryTiempo[Fecha],Fecha,Fecha
Column,Caption,QueryTiempo[Trimestre],Trimestre,Trimestre
Column,Caption,QueryTiempo[Año],Año,Año
Column,Caption,QueryTiempo[Semana del año],Semana del año,Semana del año
Column,Caption,QueryTiempo[Mes],Mes,Mes
Column,Caption,QueryTiempo[Nombre del mes],Nombre del mes,Nombre del mes
Column,Caption,QueryTiempo[Día de la semana],Día de la semana,Día de la semana
Column,Caption,QueryTiempo[Nombre del día],Nombre del día,Nombre del día
Column,Caption,QueryTiempo[Periodo],Periodo,Periodo
Column,Caption,QueryTiempo[IdPeriodo],IdPeriodo,IdPeriodo
Table,Caption,Versions,Versions,Versions
Column,Caption,Versions[Version],Version,Version
Column,Caption,Versions[Revision Date/Time],Revision Date/Time,Revision Date/Time
Column,Caption,Versions[Developer Name],Developer Name,Developer Name
Column,Caption,Versions[Revision Notes (md)],Revision Notes (md),Revision Notes (md)
Column,Caption,Versions[Refresh Date/Time],Refresh Date/Time,Refresh Date/Time
